INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3184	变异猫头鹰	60	9	1	0	1000	4	699	654	671	717	-1	8000	1264	856	958	1366	856	950	960	970	980	990	150	800	20	20	10
3189	猫头鹰宝宝	60	9	0	1	1000	4	672	659	668	703	-1	8000	1224	816	918	1326	816	930	940	950	960	970	150	800	20	20	10
3190	鹦鹉	60	9	0	0	1	4	672	653	662	712	-1	8500	714	918	1428	918	1326	940	950	960	970	980	20	50	20	900	10
3191	变异鹦鹉	60	9	1	0	1	4	673	653	663	712	-1	8500	724	928	1438	928	1336	945	955	965	975	985	20	50	20	900	10
3192	变异鹦鹉	60	9	1	0	1	4	675	654	666	712	-1	8500	734	938	1448	938	1346	950	960	970	980	990	20	50	20	900	10
3193	变异鹦鹉	60	9	1	0	1	4	685	659	667	712	-1	8500	744	948	1458	948	1356	955	965	975	985	995	20	50	20	900	10
3194	变异鹦鹉	60	9	1	0	1	4	685	661	669	713	-1	8500	754	958	1468	958	1366	960	970	980	990	1000	20	50	20	900	10
3199	鹦鹉宝宝	60	9	0	1	1	4	672	653	662	712	-1	8500	714	918	1428	918	1326	940	950	960	970	980	20	50	20	900	10
3200	野猪	60	9	0	0	1	4	690	655	662	716	-1	8500	1428	1020	714	1224	714	950	960	970	980	990	10	20	20	150	800
3201	变异野猪	60	9	1	0	1	4	691	654	668	716	-1	8500	1438	1030	724	1234	724	955	965	975	985	995	10	20	20	150	800
3202	变异野猪	60	9	1	0	1	4	686	654	669	716	-1	8500	1448	1040	734	1244	734	960	970	980	990	1000	10	20	20	150	800
3203	变异野猪	60	9	1	0	1	4	687	658	667	716	-1	8500	1458	1050	744	1254	744	965	975	985	995	1005	10	20	20	150	800
3204	变异野猪	60	9	1	0	1	4	694	661	667	717	-1	8500	1468	1060	754	1264	754	970	980	990	1000	1010	10	20	20	150	800
3209	野猪宝宝	60	9	0	1	1	4	690	655	662	716	-1	8500	1428	1020	714	1224	714	950	960	970	980	990	10	20	20	150	800
3210	冰蚕	70	9	0	0	10	4	675	652	664	718	-1	8500	746	959	1491	959	1385	985	995	1005	1015	1025	800	150	20	20	10
3211	变异冰蚕	70	9	1	0	10	4	675	655	665	718	-1	8500	756	969	1501	969	1395	990	1000	1010	1020	1030	800	150	20	20	10
3212	变异冰蚕	70	9	1	0	10	4	673	652	656	718	-1	8500	766	979	1511	979	1405	995	1005	1015	1025	1035	800	150	20	20	10
3213	变异冰蚕	70	9	1	0	10	4	673	652	657	719	-1	8500	776	989	1521	989	1415	1000	1010	1020	1030	1040	800	150	20	20	10
3214	变异冰蚕	70	9	1	0	10	4	672	657	670	719	-1	8500	786	999	1531	999	1425	1005	1015	1025	1035	1045	800	150	20	20	10
3215	变异冰蚕	70	9	1	0	10	4	677	660	671	719	-1	8500	796	1009	1541	1009	1435	1010	1020	1030	1040	1050	800	150	20	20	10
3219	冰蚕宝宝	70	9	0	1	10	4	675	652	664	718	-1	8500	746	959	1491	959	1385	985	995	1005	1015	1025	800	150	20	20	10
3220	鹰	70	9	0	0	1000	4	696	653	662	712	-1	8500	1278	852	959	1385	852	980	990	1000	1010	1020	10	20	20	150	800
3221	变异鹰	70	9	1	0	1000	4	697	654	663	713	-1	8500	1288	862	969	1395	862	985	995	1005	1015	1025	10	20	20	150	800
3222	变异鹰	70	9	1	0	1000	4	698	655	664	724	-1	8500	1298	872	979	1405	872	990	1000	1010	1020	1030	10	20	20	150	800
3223	变异鹰	70	9	1	0	1000	4	699	659	665	725	-1	8500	1308	882	989	1415	882	995	1005	1015	1025	1035	10	20	20	150	800
3224	变异鹰	70	9	1	0	1000	4	700	661	666	713	-1	8500	1318	892	999	1425	892	1000	1010	1020	1030	1040	10	20	20	150	800
3225	变异鹰	70	9	1	0	1000	4	701	723	667	725	-1	8500	1328	902	1009	1435	902	1005	1015	1025	1035	1045	10	20	20	150	800
3229	鹰宝宝	70	9	0	1	1000	4	696	653	662	712	-1	8500	1278	852	959	1385	852	980	990	1000	1010	1020	10	20	20	150	800
3230	駮马	70	9	0	0	100	4	690	654	664	718	-1	8500	1491	1065	746	1278	746	990	1000	1010	1020	1030	10	20	800	20	150
3231	变异駮马	70	9	1	0	100	4	691	655	665	718	-1	8500	1501	1075	756	1288	756	995	1005	1015	1025	1035	10	20	800	20	150
3232	变异駮马	70	9	1	0	100	4	692	656	666	719	-1	8500	1511	1085	766	1298	766	1000	1010	1020	1030	1040	10	20	800	20	150
3233	变异駮马	70	9	1	0	100	4	693	657	667	719	-1	8500	1521	1095	776	1308	776	1005	1015	1025	1035	1045	10	20	800	20	150
3234	变异駮马	70	9	1	0	100	4	686	658	668	721	-1	8500	1531	1105	786	1318	786	1010	1020	1030	1040	1050	10	20	800	20	150
3235	变异駮马	70	9	1	0	100	4	675	659	669	721	-1	8500	1541	1115	796	1328	796	1015	1025	1035	1045	1055	10	20	800	20	150
3239	駮马宝宝	70	9	0	1	100	4	690	654	664	718	-1	8500	1491	1065	746	1278	746	990	1000	1010	1020	1030	10	20	800	20	150
3240	雪貂	70	9	0	0	1000	4	674	656	666	706	-1	8500	1278	852	959	1385	852	985	995	1005	1015	1025	20	50	20	900	10
3241	变异雪貂	70	9	1	0	1000	4	673	657	667	707	-1	8500	1288	862	969	1395	862	990	1000	1010	1020	1030	20	50	20	900	10
3242	变异雪貂	70	9	1	0	1000	4	672	658	668	707	-1	8500	1298	872	979	1405	872	995	1005	1015	1025	1035	20	50	20	900	10
3243	变异雪貂	70	9	1	0	1000	4	674	659	669	716	-1	8500	1308	882	989	1415	882	1000	1010	1020	1030	1040	20	50	20	900	10
3244	变异雪貂	70	9	1	0	1000	4	700	660	670	717	-1	8500	1318	892	999	1425	892	1005	1015	1025	1035	1045	20	50	20	900	10
3245	变异雪貂	70	9	1	0	1000	4	701	661	671	717	-1	8500	1328	902	1009	1435	902	1010	1020	1030	1040	1050	20	50	20	900	10
3249	雪貂宝宝	70	9	0	1	1000	4	674	656	666	706	-1	8500	1278	852	959	1385	852	985	995	1005	1015	1025	20	50	20	900	10
3499	云飘飘的鸭子	1	9	0	0	11	3	-1	-1	-1	-1	-1	5000	100	100	100	100	100	100	100	100	100	100	900	50	20	20	10
3500	云飘飘的兔子	1	9	0	0	100	3	-1	-1	-1	-1	-1	5000	100	100	100	100	100	100	100	100	100	100	900	50	20	20	10
