INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
12	防具商店	0	40	100	1	1	1	1	1	100000	60	10110004	1	-1	10110005	1	-1	10110006	1	-1	10110007	1	-1	10110008	1	-1	10111004	1	-1	10111005	1	-1	10111006	1	-1	10111007	1	-1	10111008	1	-1	10112004	1	-1	10112005	1	-1	10112006	1	-1	10112007	1	-1	10112008	1	-1	10113004	1	-1	10113005	1	-1	10113006	1	-1	10113007	1	-1	10113008	1	-1	30301005	1	-1	30301006	1	-1	30301007	1	-1	30301008	1	-1	30301013	1	-1	30301014	1	-1	30301015	1	-1	30301016	1	-1	30507011	1	-1	30507021	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
13	防具商店	0	40	100	1	1	1	1	1	100000	60	10120002	1	-1	10120003	1	-1	10121002	1	-1	10121003	1	-1	10122002	1	-1	10122003	1	-1	30508011	1	-1	30508021	1	-1	30302002	1	-1	30302003	1	-1	30302012	1	-1	30302013	1	-1	30302022	1	-1	30302033	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
14	防具商店	0	40	100	1	1	1	1	1	100000	60	30001002	1	-1	30001003	1	-1	30002002	1	-1	30002003	1	-1	30003002	1	-1	30003003	1	-1	30004002	1	-1	30004007	1	-1	30004012	1	-1	30004017	1	-1	30004022	1	-1	30005002	1	-1	30005007	1	-1	30005011	1	-1	30005013	1	-1	30005015	1	-1	30005017	1	-1	30303002	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	30007003	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
15	防具商店	0	40	100	1	1	1	1	1	100000	60	30101002	1	-1	30101003	1	-1	30101014	1	-1	30101015	1	-1	30102002	1	-1	30102006	1	-1	30102010	1	-1	30102014	1	-1	30102018	1	-1	30304002	1	-1	30304004	1	-1	30304010	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
16	防具商店	0	40	100	1	1	1	1	1	100000	60	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301003	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	20307001	-1	-1	20307101	-1	-1	20307102	-1	-1	20307103	-1	-1	20307104	-1	-1	30501003	1	-1	30501004	1	-1	30501005	1	-1	30501006	1	-1	30503011	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
17	防具商店	0	40	100	1	1	1	1	1	100000	60	30602002	1	-1	30602003	1	-1	30603002	1	-1	30603003	1	-1	30604002	1	-1	30604003	1	-1	30605002	1	-1	30605003	1	-1	30601001	1	-1	30402001	1	-1	30402002	1	-1	30402003	1	-1	30402004	1	-1	30402005	1	-1	30402006	1	-1	30402007	1	-1	30402008	1	-1	30402009	1	-1	30402010	1	-1	30402011	1	-1	30402012	1	-1	30402013	1	-1	30402014	1	-1	30402015	1	-1	30402016	1	-1	30402017	1	-1	30402018	1	-1	30402019	1	-1	30402020	1	-1	30402021	1	-1	30402022	1	-1	30402023	1	-1	30402071	1	-1	30402072	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
18	防具商店	0	40	100	1	1	1	1	1	3600000	60	20101002	1	20	20101003	1	20	20102002	1	20	20102003	1	20	20103003	1	20	20103002	1	20	20104002	1	20	20104003	1	20	20105002	1	20	20105003	1	20	20304006	1	20	20304007	1	20	20107002	1	20	20107003	1	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
21	饰品商店	0	40	100	1	1	1	1	1	100000	60	10100003	1	-1	10100004	1	-1	10101003	1	-1	10101004	1	-1	10102003	1	-1	10102004	1	-1	10103003	1	-1	10103004	1	-1	10104003	1	-1	10104004	1	-1	10105003	1	-1	10105004	1	-1	30300003	1	-1	30300004	1	-1	30300013	1	-1	30300014	1	-1	30300023	1	-1	30300024	1	-1	30300033	1	-1	30300034	1	-1	30300043	1	-1	30300044	1	-1	30300053	1	-1	30300054	1	-1	30506021	1	-1	30506031	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
22	饰品商店	0	40	100	1	1	1	1	1	100000	60	10110006	1	-1	10110007	1	-1	10110008	1	-1	10110009	1	-1	10110010	1	-1	10110011	1	-1	10111006	1	-1	10111007	1	-1	10111008	1	-1	10111009	1	-1	10111010	1	-1	10111011	1	-1	10112006	1	-1	10112007	1	-1	10112008	1	-1	10112009	1	-1	10112010	1	-1	10112011	1	-1	10113006	1	-1	10113007	1	-1	10113008	1	-1	10113009	1	-1	10113010	1	-1	10113011	1	-1	30301013	1	-1	30301014	1	-1	30301015	1	-1	30301016	1	-1	30301021	1	-1	30301022	1	-1	30301023	1	-1	30301024	1	-1	30507021	1	-1	30507031	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
23	饰品商店	0	40	100	1	1	1	1	1	100000	60	10120003	1	-1	10120004	1	-1	10121003	1	-1	10121004	1	-1	10122003	1	-1	10122004	1	-1	30302003	1	-1	30302004	1	-1	30302013	1	-1	30302014	1	-1	30302023	1	-1	30302024	1	-1	30508021	1	-1	30508031	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
24	饰品商店	0	40	100	1	1	1	1	1	100000	60	30001003	1	-1	30001004	1	-1	30002003	1	-1	30002004	1	-1	30003003	1	-1	30003004	1	-1	30004002	1	-1	30004007	1	-1	30004012	1	-1	30004017	1	-1	30004022	1	-1	30005002	1	-1	30005007	1	-1	30005011	1	-1	30005013	1	-1	30005015	1	-1	30005017	1	-1	30303002	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
25	饰品商店	0	40	100	1	1	1	1	1	100000	60	30101003	1	-1	30101004	1	-1	30101015	1	-1	30101016	1	-1	30102002	1	-1	30102006	1	-1	30102010	1	-1	30102014	1	-1	30102018	1	-1	30304002	1	-1	30304004	1	-1	30304010	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
