INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
20102024	2	1	2	24	Food_1	文昌鱼	体形不是很大，全身半透明，头尾两头尖，是高级鱼品，其肉质鲜嫩，味道清津甜美。可用于烹饪。	12	120	4	20	-1	-1	1	9	12	-1	-1	高级鱼类
20103001	2	1	3	1	Ore_1	铜矿石	铜矿石，用于铸造。	1	10	4	20	-1	-1	1	7	1	-1	-1	初级矿石
20103002	2	1	3	2	Ore_2	铁矿石	铁矿石，用于铸造。	2	20	4	20	-1	-1	1	7	2	-1	-1	初级矿石
20103003	2	1	3	3	Ore_3	银矿石	银矿石，用于铸造。	3	30	4	20	-1	-1	1	7	3	-1	-1	初级矿石
20103004	2	1	3	4	Ore_4	寒铁矿石	寒铁矿石，用于铸造。	4	40	4	20	-1	-1	1	7	4	-1	-1	中级矿石
20103005	2	1	3	5	Ore_5	金矿石	金矿石，用于铸造。	5	50	4	20	-1	-1	1	7	5	-1	-1	中级矿石
20103006	2	1	3	6	Ore_9	玄铁矿石	玄铁矿石，用于铸造。	6	60	4	20	-1	-1	1	7	6	-1	-1	中级矿石
20103007	2	1	3	7	Ore_11	水晶矿石	水晶矿石，用于铸造。	7	70	4	20	-1	-1	1	7	7	-1	-1	高级矿石
20103008	2	1	3	8	Ore_8	翡翠矿石	翡翠矿石，用于铸造。	8	80	4	20	-1	-1	1	7	8	-1	-1	高级矿石
20103009	2	1	3	9	Ore_6	真武矿石	真武矿石，用于铸造。	9	90	4	20	-1	-1	1	7	9	-1	-1	高级矿石
20103010	2	1	3	10	Ore_7	龙血矿石	龙血矿石，用于铸造。	10	100	4	20	-1	-1	1	7	10	-1	-1	高级矿石
20103011	2	1	3	11	Ore_10	凤血矿石	凤血矿石，用于铸造。	11	110	4	20	-1	-1	1	7	11	-1	-1	高级矿石
20103012	2	1	3	12	Ore_12	女娲石	女娲石，用于铸造。	12	120	4	20	-1	-1	1	7	12	-1	-1	高级矿石
20104001	2	1	4	1	Corn_1	小麦	农作物，小麦，是营养比较丰富、经济价值较高的粮食，用于烹饪。	1	10	4	20	-1	-1	1	10	1	-1	-1	初级粮食
20104002	2	1	4	2	Corn_2	大米	农作物，大米，是稻谷经清理、砻谷、碾米、成品整理等工序后制成的成品，用于烹饪。	2	20	4	20	-1	-1	1	10	2	-1	-1	初级粮食
20104003	2	1	4	3	Corn_3	玉米	农作物，玉米，不仅清香甘甜，还含有多种特殊的营养素的农作物，用于烹饪。	3	30	4	20	-1	-1	1	10	3	-1	-1	初级粮食
20104004	2	1	4	4	Corn_4	花生	农作物，花生，花生又名落花生、长寿果，素有“中国坚果”、“田中之肉”美称用于烹饪。	4	40	4	20	-1	-1	1	10	4	-1	-1	中级粮食
20104005	2	1	4	5	Corn_5	红薯	农作物，红薯，含有丰富的淀粉、维生素、纤维素等人体必需的营养成分，用于烹饪。	5	50	4	20	-1	-1	1	10	5	-1	-1	中级粮食
20104006	2	1	4	6	Corn_6	高粱	农作物，高梁，淀粉、蛋白质、铁的含量较高的农作物，用于烹饪。	6	60	4	20	-1	-1	1	10	6	-1	-1	中级粮食
20104007	2	1	4	7	Corn_7	芝麻	农作物，芝麻，原称胡麻，相传是西汉张骞通西域时引进中原的用于烹饪。	7	70	4	20	-1	-1	1	10	7	-1	-1	高级粮食
20104008	2	1	4	8	Corn_8	绿豆	农作物，绿豆，绿豆，又名青小豆，为豆科植物绿豆的种子，是我国传统的豆类食物用于烹饪。	8	80	4	20	-1	-1	1	10	8	-1	-1	高级粮食
20104009	2	1	4	9	Corn_9	黄豆	农作物，黄豆，既可供食用，又可以榨油，营养价值很高的农作物，用于烹饪。	9	90	4	20	-1	-1	1	10	9	-1	-1	高级粮食
20104010	2	1	4	10	Corn_3	蚕豆	农作物，蚕豆，又名胡豆、夏豆、罗汉豆，具有较全面而均衡的营养用于烹饪。	10	100	4	20	-1	-1	1	10	10	-1	-1	高级粮食
20104011	2	1	4	11	Corn_8	马铃薯	农作物，马铃薯，俗名土豆、洋芋，有较高的营养价值和保健功能用于烹饪。	11	110	4	20	-1	-1	1	10	11	-1	-1	高级粮食
20104012	2	1	4	12	Corn_10	芋头	农作物，芋头，又称芋艿，可作菜，煮、炒皆宜，亦可蒸煮食之充饥，并且是一味良药用于烹饪。	12	120	4	20	-1	-1	1	10	12	-1	-1	高级粮食
20105001	2	1	5	1	Drygoods_1	麻	纺织物，麻，用于缝纫。	1	10	4	20	-1	-1	1	10	1	-1	-1	初级纺织品
20105002	2	1	5	2	Drygoods_7	棉	纺织物，棉，用于缝纫。	2	20	4	20	-1	-1	1	10	2	-1	-1	初级纺织品
20105003	2	1	5	3	Drygoods_2	绸	纺织物，绸，用于缝纫。	3	30	4	20	-1	-1	1	10	3	-1	-1	初级纺织品
20105004	2	1	5	4	Drygoods_10	帛	纺织物，帛，用于缝纫。	4	40	4	20	-1	-1	1	10	4	-1	-1	中级纺织品
20105005	2	1	5	5	Drygoods_11	绢	纺织物，绢，用于缝纫。	5	50	4	20	-1	-1	1	10	5	-1	-1	中级纺织品
20105006	2	1	5	6	Drygoods_12	丝	纺织物，丝，用于缝纫。	6	60	4	20	-1	-1	1	10	6	-1	-1	中级纺织品
20105007	2	1	5	7	Drygoods_3	缎	纺织物，缎，用于缝纫。	7	70	4	20	-1	-1	1	10	7	-1	-1	高级纺织品
20105008	2	1	5	8	Drygoods_6	绫	纺织物，绫，用于缝纫。	8	80	4	20	-1	-1	1	10	8	-1	-1	高级纺织品
20105009	2	1	5	9	Drygoods_8	罗	纺织物，罗，用于缝纫。	9	90	4	20	-1	-1	1	10	9	-1	-1	高级纺织品
20105010	2	1	5	10	Drygoods_4	绒	纺织物，绒，用于缝纫。	10	100	4	20	-1	-1	1	10	10	-1	-1	高级纺织品
20105011	2	1	5	11	Drygoods_9	纱	纺织物，纱，用于缝纫。	11	110	4	20	-1	-1	1	10	11	-1	-1	高级纺织品
20105012	2	1	5	12	Drygoods_5	锦	纺织物，锦，用于缝纫。	12	120	4	20	-1	-1	1	10	12	-1	-1	高级纺织品
20106001	2	1	6	1	Meet_1	新鲜肉	肉类，用于烹饪。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	初级肉类
20106002	2	1	6	2	Meet_2	细嫩肉	肉类，用于烹饪。	2	20	4	20	-1	-1	1	-1	-1	-1	-1	初级肉类
20106003	2	1	6	3	Meet_3	前肘肉	肉类，用于烹饪。	3	30	4	20	-1	-1	1	-1	-1	-1	-1	初级肉类
20106004	2	1	6	4	Meet_4	后肘肉	肉类，用于烹饪。	4	40	4	20	-1	-1	1	-1	-1	-1	-1	中级肉类
20106005	2	1	6	5	Meet_5	前腿肉	肉类，用于烹饪。	5	50	4	20	-1	-1	1	-1	-1	-1	-1	中级肉类
20106006	2	1	6	6	Meet_6	后腿肉	肉类，用于烹饪。	6	60	4	20	-1	-1	1	-1	-1	-1	-1	中级肉类
20106007	2	1	6	7	Meet_7	侧股肉	肉类，用于烹饪。	7	70	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20106008	2	1	6	8	Meet_8	里脊肉	肉类，用于烹饪。	8	80	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20106009	2	1	6	9	Meet_9	白条肉	肉类，用于烹饪。	9	90	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20106010	2	1	6	10	Meet_10	肥肉	肉类，用于烹饪。	10	100	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20106011	2	1	6	11	Meet_11	美味肉	肉类，用于烹饪。	11	110	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20106012	2	1	6	12	Meet_12	精肉	肉类，用于烹饪。	12	120	4	20	-1	-1	1	-1	-1	-1	-1	高级肉类
20107001	2	1	7	1	Flix_1	草皮革	皮毛类，用于缝纫。	1	124	4	20	-1	-1	1	-1	-1	-1	-1	初级皮毛
20107002	2	1	7	2	Flix_9	草皮毛	皮毛类，用于缝纫。	2	145	4	20	-1	-1	1	-1	-1	-1	-1	初级皮毛
20107003	2	1	7	3	Flix_2	轻皮革	皮毛类，用于缝纫。	2	145	4	20	-1	-1	1	-1	-1	-1	-1	初级皮毛
20107004	2	1	7	4	Flix_6	轻皮毛	皮毛类，用于缝纫。	3	176	4	20	-1	-1	1	-1	-1	-1	-1	初级皮毛
20107005	2	1	7	5	Flix_7	小皮革	皮毛类，用于缝纫。	4	216	4	20	-1	-1	1	-1	-1	-1	-1	中级皮毛
20107006	2	1	7	6	Flix_10	小皮毛	皮毛类，用于缝纫。	4	216	4	20	-1	-1	1	-1	-1	-1	-1	中级皮毛
20107007	2	1	7	7	Flix_8	中皮革	皮毛类，用于缝纫。	5	271	4	20	-1	-1	1	-1	-1	-1	-1	中级皮毛
20107008	2	1	7	8	Flix_9	中皮毛	皮毛类，用于缝纫。	5	271	4	20	-1	-1	1	-1	-1	-1	-1	中级皮毛
20107009	2	1	7	9	Flix_11	大皮革	皮毛类，用于缝纫。	6	439	4	20	-1	-1	1	-1	-1	-1	-1	中级皮毛
20107010	2	1	7	10	Flix_5	大皮毛	皮毛类，用于缝纫。	7	705	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107011	2	1	7	11	Flix_3	真皮革	皮毛类，用于缝纫。	7	705	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107012	2	1	7	12	Flix_6	真皮毛	皮毛类，用于缝纫。	8	1092	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107013	2	1	7	13	Flix_4	厚皮革	皮毛类，用于缝纫。	8	1092	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107014	2	1	7	14	Flix_7	厚皮毛	皮毛类，用于缝纫。	9	1626	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107015	2	1	7	15	Flix_10	重皮革	皮毛类，用于缝纫。	10	2334	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107016	2	1	7	16	Flix_8	重皮毛	皮毛类，用于缝纫。	10	2334	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107017	2	1	7	17	Flix_9	鳞皮革	皮毛类，用于缝纫。	11	3245	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107018	2	1	7	18	Flix_11	鳞皮毛	皮毛类，用于缝纫。	12	4429	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20107019	2	1	7	19	Flix_12	神皮毛	皮毛类，用于缝纫。	12	4429	4	20	-1	-1	1	-1	-1	-1	-1	高级皮毛
20108001	2	1	8	1	Flower_1	桃花	属蔷薇科，其树态优美，枝干扶疏，花朵丰腴，色彩艳丽用于增加好感度。	1	10	4	20	-1	-1	1	10	1	-1	6	花卉
20108002	2	1	8	2	Flower_2	百合花	叶似翠竹，花色洁白，状如喇叭，姿态异常优美，能散出隐隐幽香用于增加好感度。	4	40	4	20	-1	-1	1	10	4	-1	6	花卉
20108003	2	1	8	3	Flower_3	郁金香	百合科多年生鳞茎花卉，常顶生一朵大花，花瓣6片，直立，杯形，花色艳丽多样用于增加好感度。	6	60	4	20	-1	-1	1	10	6	-1	6	花卉
20108004	2	1	8	4	Flower_4	玫瑰花	蔷薇科落叶灌木茎多刺，花有紫、白两种，形似蔷被和月季，典雅艳丽，香馥迷人用于增加好感度。	8	80	4	20	-1	-1	1	10	8	-1	6	花卉
20108005	2	1	8	5	Flower_5	梅花	二十四番花信之首的梅花，冰枝嫩绿，疏影清雅，花色美秀，幽香宜人，花期独早用于增加好感度。	10	100	4	20	-1	-1	1	10	10	-1	6	花卉
20108006	2	1	8	6	Flower_6	牡丹	特产名花，品种多，花姿美，花大色艳，高贵典雅，素有“国色天香”“花中之王”的美誉用于增加好感度。	12	120	4	20	-1	-1	1	10	12	-1	6	花卉
20301001	2	3	1	1	OtherTools1_1	陶瓷瓶	陶瓷制成，用来装药丸的瓶子。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20301002	2	3	1	2	OtherTools1_3	白玉瓶	白玉制成，用来装药丸的瓶子。	1	100	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20301003	2	3	1	3	OtherTools1_2	翡翠瓶	翡翠制成，用来装药丸的瓶子。	1	1000	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20301004	2	3	1	4	OtherTools1_4	鹿茸	动物药材。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20301005	2	3	1	5	OtherTools1_5	熊胆	动物药材。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20301006	2	3	1	6	OtherTools1_6	豹胆	动物药材。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302001	2	3	2	1	OtherTools1_7	粗盐	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302002	2	3	2	2	OtherTools1_8	精盐	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302003	2	3	2	3	OtherTools1_9	海盐	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302004	2	3	2	4	Food_1	桂圆	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302005	2	3	2	5	Food_1	枣泥	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302006	2	3	2	6	Food_1	蜂蜜	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302007	2	3	2	7	Food_1	木耳	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302008	2	3	2	8	Food_1	樱桃	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302009	2	3	2	9	Food_1	豆沙	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302010	2	3	2	10	Food_1	豆腐	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302011	2	3	2	11	Food_1	鸡蛋	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20302012	2	3	2	12	Food_1	葱	调味料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20303001	2	3	3	1	OtherTools1_10	普通染料	染料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20303002	2	3	3	2	OtherTools1_11	精制染料	染料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20303003	2	3	3	3	OtherTools1_12	闪光染料	染料。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20304001	2	3	4	1	MenpaiGoods_1	罗汉印	开光专用的初级道具。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20304002	2	3	4	2	MenpaiGoods_2	佛印	开光专用的高级道具。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20304003	2	3	4	3	OtherTools1_15	火丹	圣火术专用的初级道具。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20304004	2	3	4	4	OtherTools1_16	焱丹	圣火术专用的高级道具。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	杂物
20304005	2	3	4	5	Corn_10	蚂蚁	一些毒虫，可以用来制毒，酿酒。	1	10	4	20	-1	-1	1	-1	-1	-1	-1	初级虫类
20304006	2	3	4	6	TaskTools3_7	毒蜂	一些毒虫，可以用来制毒，酿酒。	2	20	4	20	-1	-1	1	-1	-1	-1	-1	初级虫类
20304007	2	3	4	7	OtherTools2_1	蜘蛛	一些毒虫，可以用来制毒，酿酒。	3	30	4	20	-1	-1	1	-1	-1	-1	-1	初级虫类
20304008	2	3	4	8	OtherTools2_11	蜈蚣	一些毒虫，可以用来制毒，酿酒。	4	40	4	20	-1	-1	1	-1	-1	-1	-1	中级虫类
