INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
12	闪电枪配方	10401006	1	4	2	20103002	3	20308012	1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
13	蓝骨杖配方	10401011	1	4	3	20103003	3	20308013	1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
14	噬魂枪配方	10401016	1	4	4	20103004	3	20308014	1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
15	催风棍配方	10401021	1	4	5	20103005	3	20308015	1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
16	烈火战枪配方	10201006	1	4	6	20103006	3	20308016	1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
17	夜叉神戟配方	10201007	1	4	7	20103007	3	20308017	1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
18	修罗妖枪配方	10201008	1	4	8	20103008	3	20308018	1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
19	冥星魔棒配方	10201009	1	4	9	20103009	3	20308019	1	20306005	1	-1	-1	-1	-1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
20	乾坤神杵配方	10201010	1	4	10	20103010	3	20308020	1	20306006	1	-1	-1	-1	-1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
21	太康剑配方	10402001	1	4	1	20103001	2	20103002	1	20308021	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
22	灵宝剑配方	10402006	1	4	2	20103002	2	20103003	1	20308022	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
23	昆吾剑配方	10402011	1	4	3	20103003	2	20103004	1	20308023	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
24	青冥剑配方	10402016	1	4	4	20103004	2	20103005	1	20308024	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
25	梁神剑配方	10402021	1	4	5	20103005	2	20103006	1	20308025	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
26	金翎剑配方	10202006	1	4	6	20103006	2	20103007	1	20308026	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
27	斩蛟剑配方	10202007	1	4	7	20103007	2	20103008	1	20308027	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
28	惊鸿配方	10202008	1	4	8	20103008	2	20103009	1	20308028	1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
29	龙渊配方	10202009	1	4	9	20103009	2	20103010	1	20308029	1	20306005	1	-1	-1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
30	腾空无双配方	10202010	1	4	10	20103010	2	20103011	1	20308030	1	20306006	1	-1	-1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
31	十字短剑配方	10403001	1	4	1	20103001	1	20103002	2	20308031	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
32	梅花双剑配方	10403006	1	4	2	20103002	1	20103003	2	20308032	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
33	逸龙双剑配方	10403011	1	4	3	20103003	1	20103004	2	20308033	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
34	钺牙戟配方	10403016	1	4	4	20103004	1	20103005	2	20308034	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
35	子午剑配方	10403021	1	4	5	20103005	1	20103006	2	20308035	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
36	宣花双斧配方	10203006	1	4	6	20103006	1	20103007	2	20308036	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
37	蝶恋花配方	10203007	1	4	7	20103007	1	20103008	2	20308037	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
38	长河孤烟配方	10203008	1	4	8	20103008	1	20103009	2	20308038	1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
39	明月飞雪配方	10203009	1	4	9	20103009	1	20103010	2	20308039	1	20306005	1	-1	-1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
40	红颜英雄配方	10203010	1	4	10	20103010	1	20103011	2	20308040	1	20306006	1	-1	-1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
41	折扇配方	10404001	1	4	1	20103002	3	20308041	1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
42	芭蕉扇配方	10404006	1	4	2	20103003	3	20308042	1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
43	紫竹扇配方	10404011	1	4	3	20103004	3	20308043	1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
44	玉钢扇配方	10404016	1	4	4	20103005	3	20308044	1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
45	桃花扇配方	10404021	1	4	5	20103006	3	20308045	1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
46	伏魔扇配方	10204006	1	4	6	20103007	3	20308046	1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
47	无形扇配方	10204007	1	4	7	20103008	3	20308047	1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
48	化仙扇配方	10204008	1	4	8	20103009	3	20308048	1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
49	承影配方	10204009	1	4	9	20103010	3	20308049	1	20306005	1	-1	-1	-1	-1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
50	缥缈配方	10204010	1	4	10	20103011	3	20308050	1	20306006	1	-1	-1	-1	-1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
51	青铜环配方	10405001	1	4	1	20103001	2	20103003	1	20308051	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
52	白金环配方	10405006	1	4	2	20103002	2	20103004	1	20308052	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
53	龙凤环配方	10405011	1	4	3	20103003	2	20103005	1	20308053	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
54	栖霞环配方	10405016	1	4	4	20103004	2	20103006	1	20308054	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
55	寒冰圈配方	10405021	1	4	5	20103005	2	20103007	1	20308055	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
56	多情环配方	10205006	1	4	6	20103006	2	20103008	1	20308056	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
57	逍遥圈配方	10205007	1	4	7	20103007	2	20103009	1	20308057	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
58	幽冥圈配方	10205008	1	4	8	20103008	2	20103010	1	20308058	1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
59	清骨轮配方	10205009	1	4	9	20103009	2	20103011	1	20308059	1	20306005	1	-1	-1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
60	七界宝环配方	10205010	1	4	10	20103010	2	20103012	1	20308060	1	20306006	1	-1	-1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
61	2级帽配方	20005020	-1	5	1	20105001	2	20107001	2	20308061	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700907	-1	按此配方可制成2级帽子一顶
62	8级衣配方	20005020	-1	5	1	20105001	3	20107001	2	20308071	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700908	-1	按此配方可制成8级衣服一件
63	6级护腕配方	20005020	-1	5	1	20105001	2	20107001	1	20308081	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700909	-1	按此配方可制成6级护腕一对
64	4级鞋配方	20005020	-1	5	1	20105001	1	20107001	3	20308091	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700910	-1	按此配方可制成4级鞋子一双
65	12级帽配方	20005020	-1	5	2	20105002	2	20107002	2	20308062	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700911	-1	按此配方可制成12级帽子一顶
66	18级衣配方	20005020	-1	5	2	20105002	3	20107002	2	20308072	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700912	-1	按此配方可制成18级衣服一件
67	16级护腕配方	20005020	-1	5	2	20105002	2	20107002	1	20308082	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700913	-1	按此配方可制成16级护腕一对
68	14级鞋配方	20005020	-1	5	2	20105002	1	20107002	3	20308092	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700914	-1	按此配方可制成14级鞋子一双
69	精纺帽配方	10410001	1	5	2	20105002	2	20107002	2	20308062	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
70	精纺衣配方	10413001	1	5	2	20105002	3	20107002	2	20308072	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
71	精纺护腕配方	10412001	1	5	2	20105002	2	20107002	1	20308082	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
72	精纺鞋配方	10411001	1	5	2	20105002	1	20107002	3	20308092	1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
73	22级帽配方	20005020	-1	5	3	20105003	2	20107003	2	20308063	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700915	-1	按此配方可制成22级帽子一顶
74	28级衣配方	20005020	-1	5	3	20105003	3	20107003	2	20308073	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700916	-1	按此配方可制成28级衣服一件
75	26级护腕配方	20005020	-1	5	3	20105003	2	20107003	1	20308083	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700917	-1	按此配方可制成26级护腕一对
76	24级鞋配方	20005020	-1	5	3	20105003	1	20107003	3	20308093	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700918	-1	按此配方可制成24级鞋子一双
77	灵动帽配方	10410006	1	5	3	20105003	2	20107003	2	20308063	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
78	灵动衣配方	10413006	1	5	3	20105003	3	20107003	2	20308073	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
79	灵动护腕配方	10412006	1	5	3	20105003	2	20107003	1	20308083	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
80	灵动鞋配方	10411006	1	5	3	20105003	1	20107003	3	20308093	1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
81	32级帽配方	20005020	-1	5	4	20105004	2	20107004	2	20308064	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700919	-1	按此配方可制成32级帽子一顶
82	38级衣配方	20005020	-1	5	4	20105004	3	20107004	2	20308074	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700920	-1	按此配方可制成38级衣服一件
83	36级护腕配方	20005020	-1	5	4	20105004	2	20107004	1	20308084	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700921	-1	按此配方可制成36级护腕一对
84	34级鞋配方	20005020	-1	5	4	20105004	1	20107004	3	20308094	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700922	-1	按此配方可制成34级鞋子一双
85	屏银帽配方	10410011	1	5	4	20105004	2	20107004	2	20308064	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
86	屏银衣配方	10413011	1	5	4	20105004	3	20107004	2	20308074	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
87	屏银护腕配方	10412011	1	5	4	20105004	2	20107004	1	20308084	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
88	屏银鞋配方	10411011	1	5	4	20105004	1	20107004	3	20308094	1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
89	42级帽配方	20005020	-1	5	4	20105005	2	20107005	2	20308065	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700923	-1	按此配方可制成42级帽子一顶
90	48级衣配方	20005020	-1	5	5	20105005	3	20107005	2	20308075	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700924	-1	按此配方可制成48级衣服一件
91	46级护腕配方	20005020	-1	5	5	20105005	2	20107005	1	20308085	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700925	-1	按此配方可制成46级护腕一对
92	44级鞋配方	20005020	-1	5	5	20105005	1	20107005	3	20308095	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700926	-1	按此配方可制成44级鞋子一双
93	神威帽配方	10410016	1	5	5	20105005	2	20107005	2	20308065	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
94	神威衣配方	10413016	1	5	5	20105005	3	20107005	2	20308075	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
95	神威护腕配方	10412016	1	5	5	20105005	2	20107005	1	20308085	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
96	神威鞋配方	10411016	1	5	5	20105005	1	20107005	3	20308095	1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
97	52帽配方	20005020	-1	5	6	20105006	2	20107006	2	20308066	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700927	-1	按此配方可制成52级帽子一顶
98	58衣配方	20005020	-1	5	6	20105006	3	20107006	2	20308076	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700928	-1	按此配方可制成58级衣服一件
99	56护腕配方	20005020	-1	5	6	20105006	2	20107006	1	20308086	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700929	-1	按此配方可制成56级护腕一对
100	54鞋配方	20005020	-1	5	6	20105006	1	20107006	3	20308096	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700930	-1	按此配方可制成54级鞋子一双
101	翠羽帽配方	10410021	1	5	6	20105006	2	20107006	2	20308066	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
102	翠羽衣配方	10413021	1	5	6	20105006	3	20107006	2	20308076	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
103	翠羽护腕配方	10412021	1	5	6	20105006	2	20107006	1	20308086	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
104	翠羽鞋配方	10411021	1	5	6	20105006	1	20107006	3	20308096	1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	5	0	1		3000	-1	-1	防具配方
105	62帽配方	20005020	-1	5	7	20105007	2	20107007	2	20308067	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700931	-1	按此配方可制成62级帽子一顶
106	68衣配方	20005020	-1	5	7	20105007	3	20107007	2	20308077	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700932	-1	按此配方可制成68级衣服一件
107	66护腕配方	20005020	-1	5	7	20105007	2	20107007	1	20308087	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700933	-1	按此配方可制成66级护腕一对
108	64鞋配方	20005020	-1	5	7	20105007	1	20107007	3	20308097	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700934	-1	按此配方可制成64级鞋子一双
109	71帽配方	20005020	-1	5	8	20105008	2	20107009	2	20308068	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700935	-1	按此配方可制成71级帽子一顶
110	74衣配方	20005020	-1	5	8	20105008	3	20107009	2	20308078	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700936	-1	按此配方可制成74级衣服一件
111	73护腕配方	20005020	-1	5	8	20105008	2	20107009	1	20308088	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700937	-1	按此配方可制成73级护腕一对
112	72鞋配方	20005020	-1	5	8	20105008	1	20107009	3	20308098	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	1		3000	700938	-1	按此配方可制成72级鞋子一双
113	76级帽配方	20005020	-1	5	9	20105009	2	20107011	2	20306009	1	20308068	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700939	-1	按此配方可制成76级帽子一顶
114	79级衣配方	20005020	-1	5	9	20105009	3	20107011	2	20306009	1	20308078	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700940	-1	按此配方可制成79级衣服一件
115	78级护腕配方	20005020	-1	5	9	20105009	2	20107011	1	20306009	1	20308088	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700941	-1	按此配方可制成78级护腕一对
116	77级鞋配方	20005020	-1	5	9	20105009	1	20107011	3	20306009	1	20308098	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700942	-1	按此配方可制成77级鞋子一双
117	81帽配方	20005020	-1	5	10	20105010	2	20107013	2	20306010	1	20308069	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700943	-1	按此配方可制成81级帽子一顶
118	84衣配方	20005020	-1	5	10	20105010	3	20107013	2	20306010	1	20308079	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700944	-1	按此配方可制成84级衣服一件
119	83护腕配方	20005020	-1	5	10	20105010	2	20107013	1	20306010	1	20308089	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700945	-1	按此配方可制成83级护腕一对
120	82鞋配方	20005020	-1	5	10	20105010	1	20107013	3	20306010	1	20308099	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	1		3000	700946	-1	按此配方可制成82级鞋子一双
121	86帽配方	20005020	-1	5	11	20105011	2	20107015	2	20306011	1	20308069	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700947	-1	按此配方可制成86级帽子一顶
122	89衣配方	20005020	-1	5	11	20105011	3	20107015	2	20306011	1	20308079	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700948	-1	按此配方可制成89级衣服一件
123	88护腕配方	20005020	-1	5	11	20105011	2	20107015	1	20306011	1	20308089	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700949	-1	按此配方可制成88级护腕一对
124	87鞋配方	20005020	-1	5	11	20105011	1	20107015	3	20306011	1	20308099	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700950	-1	按此配方可制成87级鞋子一双
125	91帽配方	20005020	-1	5	12	20105012	2	20107017	2	20306012	1	20308070	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700951	-1	按此配方可制成91级帽子一顶
126	94衣配方	20005020	-1	5	12	20105012	3	20107017	2	20306012	1	20308080	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700952	-1	按此配方可制成94级衣服一件
127	93护腕配方	20005020	-1	5	12	20105012	2	20107017	1	20306012	1	20308090	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700953	-1	按此配方可制成93级护腕一对
128	92鞋配方	20005020	-1	5	12	20105012	1	20107017	3	20306012	1	20308100	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700954	-1	按此配方可制成92级鞋子一双
129	96帽配方	20005020	-1	5	12	20105012	2	20107018	2	20306012	1	20308070	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700955	-1	按此配方可制成96级帽子一顶
130	99衣配方	20005020	-1	5	12	20105012	3	20107018	2	20306012	1	20308080	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700956	-1	按此配方可制成99级衣服一件
131	98护腕配方	20005020	-1	5	12	20105012	2	20107018	1	20306012	1	20308090	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700957	-1	按此配方可制成98级护腕一对
132	97鞋配方	20005020	-1	5	12	20105012	1	20107018	3	20306012	1	20308100	1	-1	-1	-1	-1	-1	-1	3600000	-1	5	0	0		3000	700958	-1	按此配方可制成97级鞋子一双
133	百花链配方	10420001	1	6	1	20103001	1	20103003	1	20308101	1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
134	松石结配方	10420006	1	6	2	20103002	1	20103004	1	20308102	1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
135	玛瑙护符配方	10420011	1	6	3	20103003	1	20103005	1	20308103	1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
136	蓝牙束配方	10420016	1	6	4	20103004	1	20103006	1	20308104	1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
137	暖晶项链配方	10420021	1	6	5	20103005	1	20103007	1	20308105	1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
138	七情束配方	10220006	1	6	6	20103006	1	20103008	1	20308106	1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
139	情人泪配方	10220007	1	6	7	20103007	1	20103009	1	20308107	1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
140	引路铃配方	10220008	1	6	8	20103008	1	20103010	1	20308108	1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	6	0	1		3000	-1	-1	项链配方
141	月光配方	10220009	1	6	9	20103009	1	20103011	1	20308109	1	20306013	1	-1	-1	-1	19	-1	-1	3600000	-1	6	0	1		3000	-1	-1	项链配方
142	蝶仙配方	10220010	1	6	10	20103010	1	20103012	1	20308110	1	20306014	1	-1	-1	-1	21	-1	-1	3600000	-1	6	0	1		3000	-1	-1	项链配方
143	樱花腰带配方	10421001	1	6	1	20103002	1	20107003	1	20308121	1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
144	吉祥腰带配方	10421006	1	6	2	20103003	1	20107005	1	20308122	1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
145	苍蟒腰带配方	10421011	1	6	3	20103004	1	20107007	1	20308123	1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
146	云瑶箍环配方	10421016	1	6	4	20103005	1	20107009	1	20308124	1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
147	惊雷环带配方	10421021	1	6	5	20103006	1	20107011	1	20308125	1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
148	混天带配方	10221006	1	6	6	20103007	1	20107013	1	20308126	1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	6	0	1		3000	-1	-1	腰饰配方
