INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT
120	苏州校尉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	207	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
121	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
122	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
123	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
124	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
125	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
126	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
127	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
128	宋兵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	50	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
129	捕头	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	114	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
130	捕快	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	208	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
131	富裕书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	104	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
132	富裕书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	104	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
133	富裕书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	104	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
134	普通书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	44	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
135	普通书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	44	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
136	普通书生	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	44	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
137	老年员外	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	35	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
138	老年员外	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	35	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
139	老年员外	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	35	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
140	中年员外	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	90	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
141	中年员外	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	90	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
142	贵族老妇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	26	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
143	普通老妇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	102	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
144	中年贵妇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	96	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
145	中年贵妇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	96	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
146	中年贵妇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	96	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
147	大老板	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	109	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
148	大老板	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	109	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
149	大商人	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	79	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
150	大商人	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	79	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
151	小商贩	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	108	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
152	小商贩	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	108	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
153	小商贩	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	108	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
154	商会职员	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	107	1	1	1.9	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
