INT	INT	STRING	STRING	STRING
28	4	九阴真经	天下第一武学奇术,它代表独霸武林的力量。是一种极为阴柔的武功，稍不小心即可走火入魔。	XinFa2_12
29	4	玉女心经	林朝英所创的精妙武功，须得二人同练,互为臂助，方可大成。	XinFa2_13
30	4	佛法无边	峨嵋镇派武功，佛法无边包揽世间万相，各招各式相生相克，将周围所有事物为己所用，生生死死，无边无涯。	XinFa2_14
31	5	腐尸功	星宿派的入门功夫，中腐尸功的人三个时辰内尸体就会烂成灰,如同死了三年的人一样。	XinFa2_15
32	5	化功大法	取千金而复弃于地，把别人的内功化去，消去，以便给对方致命的伤害。	XinFa2_16
33	5	三笑逍遥散	极为阴毒的毒药，中此毒者，身体不会感到任何的不适，但脸上会露出奇怪的笑容，三次之后必死无疑	XinFa3_1
34	5	星宿神功	丁春秋自创的星宿镇派武功，以毒为媒介，融合内力外功，方圆之内不敢有人近身。	XinFa3_2
35	5	生死符	逆運北冥真气将水或酒,化为含气劲之薄冰,再种于敌人之穴道,冰融而气劲侵入穴道中,一定时间便会发作其中,痛苦不堪。	XinFa3_3
36	5	抽髓掌	星宿派独门毒功，极为阴辣，中此掌者犹如剥筋抽髓，生不如死。	XinFa3_4
37	6	五罗轻烟掌	此招招数精奇,拥有多重变势。能够以极快的速度攻出数掌,令对手防不胜防。	XinFa3_5
38	6	枯禅	“物我两忘”是此功的宗旨，做到于外界事物视而不见、听而不闻的地步，方可发挥最大威力。	XinFa3_6
39	6	一阳指	大理天龙寺特有的练功术，能疏通经络，调理人体的气血，使之达到阴阳平衡，内力从指尖勃发而出，伤人于无形。	XinFa3_7
40	6	六脉神剑	六脉神剑乃上乘武功，意念为由，手指为剑，将弥漫于天地间之神剑罡气迥环收纳入丹田，继之行大周天九遍，化为利剑。	XinFa3_8
41	6	天龙神功	天龙神功秘典博采医学、道学、佛学、易学等诸家理法之精华,以神为本,以气为基,以力为辅,神气共炼,内外兼修。	XinFa3_9
42	6	尊武神功	自春秋时代传下的武功，神武非常，修习后可达天人合一之功力。	XinFa3_10
43	7	天山折梅手	由三路掌法,三路擒拿法合成,虽只六路,但包含了逍遥派武学的精艺,含蕴诸多兵刃绝招,天下任何招数都能化入期中。	XinFa3_11
44	7	天山六阳掌	原本是逍遥派精妙掌法，后由天山童姥引入天山派，阳刚之力，可解生死符。	XinFa3_12
45	7	小无相功	道家精妙内功,威力极强,讲求清静无为,神游太虛,不着形相,无迹可寻。	XinFa3_13
46	7	八荒六合功	一门神奇无比的內家功夫,当威力显现出来时,身子便不再长高,每三十年返老还童一次,神功练了多少年,便需多少日來回复功力,期间不得吃素,须每天午时吸鲜血练功。	XinFa3_14
47	7	阴阳逆转神功	天山派独门神功，可调息闭气，阴阳逆转，真假难辩，但练此功极为危险，稍有不甚即可毙命	XinFa3_15
48	7	拈花擒拿	原为少林高深武学，后因故传入天山，以內力为基，出手平淡沖雅，不帶霸气。	XinFa3_16
49	8	南华经	老子所著，暗藏道家武学，修习后心气平静，豁然开朗，有利于内功的循序渐进。	XinFa4_1
50	8	遁甲天书	传说中的天书，包罗天文地理、军事兵法、奇门遁甲各种学识，无所不有，只要精通一二，便可放眼宇内，笑傲苍生。	XinFa4_2
51	8	道德经	道家经典秘笈，玄妙无比，可净化心境，达到奇幻境界。	XinFa4_3
52	8	北冥神功	逍遥派內功,引世人之內力而为己用,较之一般內功,乃反其道而行之,穴位相对,敌人內力即入己身。	XinFa4_4
53	8	白虹掌力	逍遥派內功,掌力曲直如意，随心而动。	XinFa4_5
54	8	飞花穿衣  	气功中最上乘的飞花杀人之技，练到颠峰，就是一片树叶，—根细草，都能致人于死地	XinFa4_6
