INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	STRING
242	2	初级外攻	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	102	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	有效距离: 2米#r消耗气:10%#r瞬间释放#r单体攻击 外功攻击加10点#r#cFF6600需要装备武器	有效距离: 2米#r消耗气:10%#r瞬间释放#r单体攻击 外功攻击加10点#r#cFF6600需要装备武器
243	3	初级伤害	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	103	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	有效距离: 2米#r消耗气:10%#r瞬间释放#r单体攻击 直接伤害10点血#r#cFF6600需要装备武器	有效距离: 2米#r消耗气:10%#r瞬间释放#r单体攻击 直接伤害10点血#r#cFF6600需要装备武器
244	4	初级内攻	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	104	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	有效距离:10米#r消耗气:1%#r瞬间释放#r单体攻击 内功攻击加10点#r#cFF6600需要装备武器	有效距离:10米#r消耗气:10%#r瞬间释放#r单体攻击 内功攻击加10点#r#cFF6600需要装备武器
245	5	初级治疗	-1	100	0	1300	3000	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	105	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气:10%#r瞬间释放#r单体治疗 恢复自身血50点	消耗气:10%#r瞬间释放#r单体治疗 恢复自身血50点
246	6	初级内防	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	106	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气:10%#r瞬间释放#r状态 内功防御加10点 持续60秒	消耗气:10%#r瞬间释放#r状态 内功防御加10点 持续60秒
247	7	初级破绽	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	107	|引导周期的附加效果1	-1	|生效一次的附加效果2	108	|引导周期的附加效果2	-1																	有效距离:10米#r消耗气:10%#r瞬间释放#r破绽技能 击中目标使其外功、内功防御各减10点 持续15秒	有效距离:10米#r消耗气:1%#r瞬间释放#r破绽技能 击中目标使其外功、内功防御各减10点 持续15秒
248	8	初级隐身	-1	100	0	30000	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	109	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气:10%#r瞬间释放 冷却时间30秒#r隐身  并使攻击自己的NPC失去目标 持续5秒	消耗气:10%#r瞬间释放 冷却时间30秒#r隐身  并使攻击自己的NPC失去目标 持续5秒
249	9	初级陷阱	-1	100	12	1300	2000	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			陷阱Data	601																							消耗气10%#r瞬间释放#r放置陷阱，上限1个，响应范围1秒，15秒内自动消失，作用人数1，目标进入灼烧状态，10点伤害/3S，持续15S（消耗%MP）	消耗气:10%#r瞬间释放#r放置陷阱，上限1个，响应范围1米，15秒内自动消失，作用人数1，目标进入灼烧状态，10点伤害/3S，持续15S
260	-1	心心相印	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	是否配偶	10	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	2800	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	"有效距离:10米#r消耗气5%#r瞬间释放#r状态 增加体力10点,持续20分钟#r#cFF6600夫妻技能 只可对配偶使用"	"消耗气5%      有效距离:10米#r瞬间释放#r状态 增加体力10点,持续20分钟#r#cFF6600夫妻技能 只可对配偶使用"
261	-1	不离不弃	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	是否配偶	10	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	2801	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	"有效距离:10米#r消耗气5%#r瞬间释放#r状态 增加外功攻击和内功攻击10%,持续20分钟#r#cFF6600夫妻技能 只可对配偶使用"	"消耗气5%     有效距离:10米#r瞬间释放#r状态 增加外功攻击和内功攻击10%,持续20分钟#r#cFF6600夫妻技能 只可对配偶使用"
281	101	伏虎拳	1	1	0	1300	-1	-1	消耗mp	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	201	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：1点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加43点#r#cFF6600需要装备武器，自动连续释放	消耗气：1点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加43点#r#cFF6600需要装备武器，自动连续释放
282	102	伏虎拳	2	2	0	1300	-1	-1	消耗mp	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	202	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：3点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加71点#r#cFF6600需要装备武器，自动连续释放	消耗气：3点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加71点#r#cFF6600需要装备武器，自动连续释放
283	103	伏虎拳	3	3	0	1300	-1	-1	消耗mp	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	203	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：3点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加99点#r#cFF6600需要装备武器，自动连续释放	消耗气：3点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加99点#r#cFF6600需要装备武器，自动连续释放
284	104	伏虎拳	4	4	0	1300	-1	-1	消耗mp	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	204	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：4点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加127点#r#cFF6600需要装备武器，自动连续释放	消耗气：4点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加127点#r#cFF6600需要装备武器，自动连续释放
285	105	伏虎拳	5	5	0	1300	-1	-1	消耗mp	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	205	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：6点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加155点#r#cFF6600需要装备武器，自动连续释放	消耗气：6点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加155点#r#cFF6600需要装备武器，自动连续释放
286	106	伏虎拳	6	6	0	1300	-1	-1	消耗mp	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	206	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：7点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加183点#r#cFF6600需要装备武器，自动连续释放	消耗气：7点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加183点#r#cFF6600需要装备武器，自动连续释放
287	107	伏虎拳	7	7	0	1300	-1	-1	消耗mp	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	207	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：8点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加211点#r#cFF6600需要装备武器，自动连续释放	消耗气：8点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加211点#r#cFF6600需要装备武器，自动连续释放
288	108	伏虎拳	8	8	0	1300	-1	-1	消耗mp	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	208	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：10点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加239点#r#cFF6600需要装备武器，自动连续释放	消耗气：10点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加239点#r#cFF6600需要装备武器，自动连续释放
289	109	伏虎拳	9	9	0	1300	-1	-1	消耗mp	4	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	209	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：10点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加267点#r#cFF6600需要装备武器，自动连续释放	消耗气：10点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加267点#r#cFF6600需要装备武器，自动连续释放
290	110	伏虎拳	10	10	0	1300	-1	-1	消耗mp	4	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	210	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：12点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加295点#r#cFF6600需要装备武器，自动连续释放	消耗气：12点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加295点#r#cFF6600需要装备武器，自动连续释放
291	111	伏虎拳	11	11	0	1300	-1	-1	消耗mp	4	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	211	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：13点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加323点#r#cFF6600需要装备武器，自动连续释放	消耗气：13点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加323点#r#cFF6600需要装备武器，自动连续释放
292	112	伏虎拳	12	12	0	1300	-1	-1	消耗mp	4	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	212	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：14点#r有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加351点#r#cFF6600需要装备武器，自动连续释放	消耗气：14点     有效距离：2米#r瞬间释放#r单体攻击，外功攻击增加351点#r#cFF6600需要装备武器，自动连续释放
293	201	般若掌	1	1	0	15000	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：11点#r有效距离：2米#r瞬间释放#r冷却时间：15秒#r强力打击，产生双倍伤害#r#cFF6600需要装备武器	消耗气：11点     有效距离：2米#r瞬间释放     冷却时间：15秒#r强力打击，产生双倍伤害#r#cFF6600需要装备武器
305	301	金刚伏魔圈	1	1	0	1700	-1	-1	消耗mp	4	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	213	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：6点#r瞬间释放#r范围攻击，外功攻击增加53点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：6点#r瞬间释放#r范围攻击，外功攻击增加53点，被击中减少怒气10点#r#cFF6600需要装备武器
306	302	金刚伏魔圈	2	2	0	1700	-1	-1	消耗mp	4	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	214	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：11点#r瞬间释放#r范围攻击，外功攻击增加88点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：11点#r瞬间释放#r范围攻击，外功攻击增加88点，被击中减少怒气10点#r#cFF6600需要装备武器
307	303	金刚伏魔圈	3	3	0	1700	-1	-1	消耗mp	4	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	215	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：15点#r瞬间释放#r范围攻击，外功攻击增加123点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：15点#r瞬间释放#r范围攻击，外功攻击增加123点，被击中减少怒气10点#r#cFF6600需要装备武器
308	304	金刚伏魔圈	4	4	0	1700	-1	-1	消耗mp	4	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	216	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：20点#r瞬间释放#r范围攻击，外功攻击增加158点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：20点#r瞬间释放#r范围攻击，外功攻击增加158点，被击中减少怒气10点#r#cFF6600需要装备武器
309	305	金刚伏魔圈	5	5	0	1700	-1	-1	消耗mp	4	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	217	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：24点#r瞬间释放#r范围攻击，外功攻击增加193点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：24点#r瞬间释放#r范围攻击，外功攻击增加193点，被击中减少怒气10点#r#cFF6600需要装备武器
310	306	金刚伏魔圈	6	6	0	1700	-1	-1	消耗mp	4	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	218	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：29点#r瞬间释放#r范围攻击，外功攻击增加228点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：29点#r瞬间释放#r范围攻击，外功攻击增加228点，被击中减少怒气10点#r#cFF6600需要装备武器
311	307	金刚伏魔圈	7	7	0	1700	-1	-1	消耗mp	4	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	219	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：33点#r瞬间释放#r范围攻击，外功攻击增加263点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：33点#r瞬间释放#r范围攻击，外功攻击增加263点，被击中减少怒气10点#r#cFF6600需要装备武器
312	308	金刚伏魔圈	8	8	0	1700	-1	-1	消耗mp	4	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	220	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：38点#r瞬间释放#r范围攻击，外功攻击增加298点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：38点#r瞬间释放#r范围攻击，外功攻击增加298点，被击中减少怒气10点#r#cFF6600需要装备武器
313	309	金刚伏魔圈	9	9	0	1700	-1	-1	消耗mp	4	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	221	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：43点#r瞬间释放#r范围攻击，外功攻击增加333点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：43点#r瞬间释放#r范围攻击，外功攻击增加333点，被击中减少怒气10点#r#cFF6600需要装备武器
314	310	金刚伏魔圈	10	10	0	1700	-1	-1	消耗mp	4	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	222	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：47点#r瞬间释放#r范围攻击，外功攻击增加368点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：47点#r瞬间释放#r范围攻击，外功攻击增加368点，被击中减少怒气10点#r#cFF6600需要装备武器
315	311	金刚伏魔圈	11	11	0	1700	-1	-1	消耗mp	4	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	223	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：51点#r瞬间释放#r范围攻击，外功攻击增加403点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：51点#r瞬间释放#r范围攻击，外功攻击增加403点，被击中减少怒气10点#r#cFF6600需要装备武器
316	312	金刚伏魔圈	12	12	0	1700	-1	-1	消耗mp	4	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	224	|引导周期的附加效果1	-1	|生效一次的附加效果2	225	|引导周期的附加效果2	-1																	消耗气：56点#r瞬间释放#r范围攻击，外功攻击增加438点，被击中减少怒气10点#r#cFF6600需要装备武器	消耗气：56点#r瞬间释放#r范围攻击，外功攻击增加438点，被击中减少怒气10点#r#cFF6600需要装备武器
329	501	一拍两散	1	1	0	15000	-1	-1	消耗mp	4	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	226	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：5点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击68点#r#cFF6600需要装备武器，自动连续释放	消耗气：5点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击68点#r#cFF6600需要装备武器，自动连续释放
330	502	一拍两散	2	2	0	15000	-1	-1	消耗mp	4	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	227	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：9点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击113点#r#cFF6600需要装备武器，自动连续释放	消耗气：9点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击113点#r#cFF6600需要装备武器，自动连续释放
331	503	一拍两散	3	3	0	15000	-1	-1	消耗mp	4	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	228	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：12点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击158点#r#cFF6600需要装备武器，自动连续释放	消耗气：12点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击158点#r#cFF6600需要装备武器，自动连续释放
332	504	一拍两散	4	4	0	15000	-1	-1	消耗mp	4	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	229	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：16点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击203点#r#cFF6600需要装备武器，自动连续释放	消耗气：16点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击203点#r#cFF6600需要装备武器，自动连续释放
333	505	一拍两散	5	5	0	15000	-1	-1	消耗mp	4	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	230	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：20点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击248点#r#cFF6600需要装备武器，自动连续释放	消耗气：20点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击248点#r#cFF6600需要装备武器，自动连续释放
334	506	一拍两散	6	6	0	15000	-1	-1	消耗mp	4	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	231	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：23点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击292点#r#cFF6600需要装备武器，自动连续释放	消耗气：23点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击292点#r#cFF6600需要装备武器，自动连续释放
335	507	一拍两散	7	7	0	15000	-1	-1	消耗mp	4	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	232	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：26点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击337点#r#cFF6600需要装备武器，自动连续释放	消耗气：26点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击337点#r#cFF6600需要装备武器，自动连续释放
336	508	一拍两散	8	8	0	15000	-1	-1	消耗mp	4	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	233	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：30点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击382点#r#cFF6600需要装备武器，自动连续释放	消耗气：30点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击382点#r#cFF6600需要装备武器，自动连续释放
337	509	一拍两散	9	9	0	15000	-1	-1	消耗mp	4	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	234	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：33点#r有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击427点#r#cFF6600需要装备武器，自动连续释放	消耗气：33点     有效距离：2米#r瞬间释放#r终极打击，增加外功外功攻击427点#r#cFF6600需要装备武器，自动连续释放
