INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
843	41	1	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
844	41	1	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
845	52	1	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
846	66	1	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
847	22	1	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
848	26	1	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
849	26	1	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
850	32	1	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
851	32	1	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
852	41	1	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
853	41	1	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
854	52	1	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
855	66	1	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
856	22	1	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
857	26	1	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
858	26	1	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
859	32	1	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
860	32	1	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
861	41	1	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
862	41	1	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
863	52	1	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
864	66	1	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
865	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
866	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
867	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
868	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
869	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
870	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
871	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
872	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
873	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
874	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
875	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
876	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
877	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
878	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
879	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
880	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
881	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
882	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
883	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
884	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
885	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
886	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
887	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
888	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
889	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
890	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
891	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
892	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
893	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
894	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
895	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
896	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
897	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
898	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
899	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
900	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1500	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1501	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1504	124	1	300	0	12	24	35	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1505	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1506	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1509	124	1	304	0	12	24	35	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1510	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1511	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1514	124	1	305	0	12	24	35	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1515	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1516	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1519	124	1	301	0	12	24	35	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1520	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1521	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1524	124	1	302	0	12	24	36	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1525	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1526	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1529	124	1	306	0	12	24	36	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1530	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1531	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1534	124	1	307	0	12	24	36	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1535	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1536	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1539	124	1	303	0	12	24	36	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1540	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1541	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1545	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1546	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1550	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1551	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1555	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1556	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1560	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1561	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1565	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1566	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1570	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1571	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1575	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1576	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1580	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1581	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1585	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1586	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1590	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1591	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1595	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1596	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1600	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1601	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1605	5	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1606	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1610	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1611	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1615	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1616	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1620	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1621	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1625	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1626	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1630	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1631	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1635	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1636	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1640	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1641	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1645	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1646	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1650	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1651	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1655	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1656	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1660	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1661	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1665	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1666	6	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1670	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1671	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1675	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1676	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1680	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1681	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1685	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1686	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1690	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1691	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1695	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1696	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1700	8	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1701	8	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1705	8	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1706	8	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1710	8	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1711	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1715	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1716	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1720	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1721	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1725	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1726	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1730	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1731	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1735	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1736	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1740	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1741	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1745	10	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1746	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1750	10	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1751	10	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1755	10	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1756	10	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1760	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1761	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1765	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1766	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1770	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1771	16	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1775	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1776	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1780	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1781	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1785	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1786	13	0	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
