INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
9	陷阱	52	STD_IMPACT_052	1	156	156	120	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0																																	
18	升级特效	0	StdImpact000	0	18	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	
100	捉宠特效	0	StdImpact000	0	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	捉宠特效
101	初级外防	11	STD_IMPACT_011	1	41	41	5	1	0	1	1	0	0	0	0	1	0	60000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	10	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加10物防
102	初级外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	10	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加10外攻
103	初级减血	1	STD_IMPACT_001	0	6	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害数值	10																															直接减血10
104	初级内攻	3	STD_IMPACT_003	0	1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	10	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加10外攻
105	初级加血	4	STD_IMPACT_004	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	50	MP修改量	0	Rage修改量	0	StrikePoint修改量	0																									加50血
106	初级内防	11	STD_IMPACT_011	1	42	42	0	1	0	1	1	0	0	0	0	1	0	60000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	0	魔法防御修正	10	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加10内防
107	初级破绽1	11	STD_IMPACT_011	1	26	26	0	1	0	1	1	0	0	0	0	1	0	15000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	-10	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	减10外防
108	初级破绽2	11	STD_IMPACT_011	1	27	27	0	1	0	1	1	0	0	0	0	1	0	15000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	0	魔法防御修正	-10	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	减10内防
109	初级隐身	14	STD_IMPACT_014	1	99	99	1	1	0	0	1	0	0	1	1	1	0	5000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	-1	Unbreakable	-1	移动速度修正%	0	隐身级别修正	10	反隐级别修正	0	变身ID	-1	骑乘ID	-1															隐身5秒
110	初级陷阱	10	StdImpact010	1	4	4	10	-1	0	1	0	0	1	0	0	0	0	10000	2000	1	0	0	0	0	子效果1的DataIndex	111	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1	韦陀杵HPDOT1
111	HPDOT4减血	1	STD_IMPACT_001	0	3	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害数值	10																															HPDOT1减血
160	少林门派buff	12	STD_IMPACT_012	1	202	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	10	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加外防
161	明教门派buff	12	STD_IMPACT_012	1	203	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	10	物理防御修正	0	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加外攻
162	丐帮门派buff	13	STD_IMPACT_013	1	204	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	命中修正|	0	闪避修正|	10	会心修正	0																										0	加闪避
163	武当门派buff	12	STD_IMPACT_012	1	205	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	10	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加内攻
164	峨嵋门派buff	12	STD_IMPACT_012	1	206	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	5	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加血上限
165	星宿门派buff	12	STD_IMPACT_012	1	207	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	0	魔法防御修正	10	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加内防
166	大理门派buff	13	STD_IMPACT_013	1	208	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	命中修正|	10	闪避修正|	0	会心修正	0																										0	加命中
167	天山门派buff	11	STD_IMPACT_011	1	209	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	物理攻击修正	0	物理防御修正	0	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	5	火系攻击修正	0	火系抗性修正	5	电系攻击修正	0	电系抗性修正	5	毒系攻击修正	0	毒系抗性修正	5	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0	加抗性
168	逍遥门派buff	13	STD_IMPACT_013	1	210	202	20	1	0	0	1	0	0	0	0	0	0	1800000	0	0	0	0	0	0	命中修正|	0	闪避修正|	0	会心修正	2																										0	加会心
201	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	15	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
202	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	30	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
203	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	45	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
204	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	60	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
205	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	75	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
206	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	90	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
207	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	105	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
208	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	120	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
209	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	135	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
210	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	150	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
211	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	165	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
212	伏虎拳	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	180	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
213	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	17	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
214	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	27	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
215	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	37	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
216	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	47	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
217	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	57	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
218	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	67	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
219	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	77	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
220	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	87	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
221	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	97	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
222	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	107	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
223	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	117	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
224	金刚伏魔圈+攻击	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	127	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
225	金刚伏魔圈-怒气	4	STD_IMPACT_004	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	0	MP修改量	0	Rage修改量	-100	StrikePoint修改量	0																									减怒气
226	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	43	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
227	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	73	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
228	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	103	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
229	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	133	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
230	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	163	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
231	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	193	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
232	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	223	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
233	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	253	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
234	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	283	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
235	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	313	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
236	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	343	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
237	一拍两散+外攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	373	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
238	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	6	毒系伤害域	0																					韦陀杵+玄攻
239	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	14	毒系伤害域	0																					韦陀杵+玄攻
240	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	22	毒系伤害域	0																					韦陀杵+玄攻
241	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	30	毒系伤害域	0																					韦陀杵+玄攻
242	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	38	毒系伤害域	0																					韦陀杵+玄攻
243	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	46	毒系伤害域	0																					韦陀杵+玄攻
244	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	54	毒系伤害域	0																					韦陀杵+玄攻
245	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	62	毒系伤害域	0																					韦陀杵+玄攻
246	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	70	毒系伤害域	0																					韦陀杵+玄攻
247	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	78	毒系伤害域	0																					韦陀杵+玄攻
248	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	86	毒系伤害域	0																					韦陀杵+玄攻
249	韦陀杵+玄攻	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	94	毒系伤害域	0																					韦陀杵+玄攻
250	韦陀杵HPDOT1	10	StdImpact010	1	1	1	10	-1	0	1	0	0	0	0	0	0	0	10000	2000	1	0	0	0	0	子效果1的DataIndex	262	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1	韦陀杵HPDOT1
251	韦陀杵HPDOT1	10	StdImpact010	1	1	1	20	-1	0	1	0	0	0	0	0	0	0	10000	2000	1	0	0	0	0	子效果1的DataIndex	263	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1	韦陀杵HPDOT1
252	韦陀杵HPDOT1	10	StdImpact010	1	1	1	30	-1	0	1	0	0	0	0	0	0	0	10000	2000	1	0	0	0	0	子效果1的DataIndex	264	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1	韦陀杵HPDOT1
