INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
41	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
42	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
43	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
44	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
45	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
46	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
47	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
48	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
49	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
50	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
51	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
52	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
53	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
54	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
55	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
56	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
57	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
58	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
59	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
60	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
61	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
62	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
63	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
64	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
65	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
66	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
67	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
68	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
69	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
70	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
71	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
72	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
73	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
74	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
75	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
76	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
77	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
78	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
79	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
80	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
81	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
82	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
83	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
84	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
85	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
86	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
87	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
88	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
89	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
90	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
91	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
92	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
93	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
94	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
95	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
96	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
97	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
98	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
99	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
100	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
